Adduct type,Mass change,Adduct type,Mass change
[M+H]+,-1.007276,[M-H]-,1.007276
[M]+,0.000549,[M]-,-0.000549
[M+NH4]+,-18.033826,[M-H2O-H]-,19.017841
[M+Na]+,-22.989221,[M+Na-2H]-,-20.974668
[M+CH3OH+H]+,-33.033491,[M+Cl]-,-34.969402
[M+K]+,-38.963158,[M+K-2H]-,-36.948606
[M+Li]+,-7.015456,[M+FA-H]-,-44.998203
[M+ACN+H]+,-42.033826,[M+Hac-H]-,-59.013853
[M+H-H2O]+,17.003288,[M+C2H3N+Na-2H]-,-62.001217
[M+H-2H2O]+,35.013853,[M+Br]-,-78.918886
[M+2Na-H]+,-44.972263,[M+TFA-H]-,-112.985588
[M+Isoprop+H]+,-61.064791,[M-C6H10O4-H]-,147.065185
[M+ACN+Na]+,-64.015769,[M-C6H10O5-H]-,163.060099
[M+2K-H]+,-76.919039,[M-C6H8O6-H]-,177.039364
[M+DMSO+H]+,-79.021212,[M+CH3COONa-H]-,-80.995799
[M+2ACN+H]+,-83.060374,,
[M+IsoProp+Na+H]+,-84.05456,,
[M-C6H10O4+H]+,145.050633,,
[M-C6H10O5+H]+,161.045547,,
[M-C6H8O6+H]+,175.024812,,
